,Year,State,State.Minimum.Wage,1,2,3,4,5,6,7,8,9,10,11,12,13,Annual
648,1980,Alabama,0.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
649,1980,Alaska,3.6,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
650,1980,Arizona,0.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
651,1980,Arkansas,2.55,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
652,1980,California,2.9,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
653,1980,Colorado,1.9,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
654,1980,Connecticut,3.12,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
655,1980,Delaware,2.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
656,1980,District of Columbia,2.5,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
657,1980,Florida,0.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
658,1980,Georgia,1.25,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
659,1980,Guam,3.1,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
660,1980,Hawaii,2.9,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
661,1980,Idaho,2.3,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
662,1980,Illinois,2.3,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
663,1980,Indiana,2.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
664,1980,Iowa,0.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
665,1980,Kansas,1.6,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
666,1980,Kentucky,2.15,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
667,1980,Louisiana,0.0,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
668,1980,Maine,3.1,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
669,1980,Maryland,3.1,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
670,1980,Massachusetts,3.1,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
671,1980,Michigan,3.1,77.8,78.9,80.1,81.0,81.8,82.7,82.7,83.3,84.0,84.8,85.5,86.3,,228.3769230769231
