,Year,State,State.Minimum.Wage,1,2,3,4,5,6,7,8,9,10,11,12,Annual
648,1980,Alabama,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
649,1980,Alaska,3.6,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
650,1980,Arizona,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
651,1980,Arkansas,2.55,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
652,1980,California,2.9,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
653,1980,Colorado,1.9,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
654,1980,Connecticut,3.12,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
655,1980,Delaware,2.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
656,1980,District of Columbia,2.5,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
657,1980,Florida,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
658,1980,Georgia,1.25,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
659,1980,Guam,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
660,1980,Hawaii,2.9,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
661,1980,Idaho,2.3,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
662,1980,Illinois,2.3,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
663,1980,Indiana,2.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
664,1980,Iowa,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
665,1980,Kansas,1.6,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
666,1980,Kentucky,2.15,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
667,1980,Louisiana,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
668,1980,Maine,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
669,1980,Maryland,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
670,1980,Massachusetts,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
671,1980,Michigan,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
672,1980,Minnesota,2.9,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
673,1980,Mississippi,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
674,1980,Missouri,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
675,1980,Montana,2.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
676,1980,Nebraska,1.6,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
677,1980,Nevada,2.75,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
678,1980,New Hampshire,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
679,1980,New Jersey,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
680,1980,New Mexico,2.65,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
681,1980,New York,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
682,1980,North Carolina,2.75,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
683,1980,North Dakota,2.6,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
684,1980,Ohio,2.3,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
685,1980,Oklahoma,2.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
686,1980,Oregon,2.9,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
687,1980,Pennsylvania,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
688,1980,Puerto Rico,1.2,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
689,1980,Rhode Island,2.65,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
690,1980,South Carolina,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
691,1980,South Dakota,2.3,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
692,1980,Tennessee,0.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
693,1980,Texas,1.4,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
694,1980,U.S. Virgin Islands,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
695,1980,Utah,2.35,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
696,1980,Vermont,3.1,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
697,1980,Virginia,2.35,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
698,1980,Washington,2.3,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
699,1980,West Virginia,2.2,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
700,1980,Wisconsin,3.0,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
701,1980,Wyoming,1.6,,80.1,,82.1,,83.8,,83.9,,85.3,,86.9,83.3
702,1981,Alabama,0.0,,88.2,,89.8,,91.1,,93.2,,95.6,,95.4,91.9
703,1981,Alaska,3.85,,88.2,,89.8,,91.1,,93.2,,95.6,,95.4,91.9
